model,rows_total,rows_evaluated,mae,rmse,r2,bias_mean_error,median_abs_error,p90_abs_error,p95_abs_error,within_5ug_pct,within_10ug_pct,within_15ug_pct,within_20ug_pct,within_25ug_pct,within_30ug_pct,rank_by_rmse
Ridge_lag_rolling_spatial,25340,25340,7.593887535099825,11.846482183361811,0.7453114085431453,0.75999157817089,5.223483085632324,15.913337898254396,22.59533977508545,48.19258089976322,77.4782951854775,88.8121546961326,93.61089187056038,96.07734806629834,97.33228097868982,1
Persistence_current_pm25,25340,25340,8.273018954420829,12.48286417301674,0.7172131760538306,-0.01932517743559926,5.499999642372131,18.5,25.100000381469727,47.19810576164167,72.04814522494081,85.07498026835043,91.55090765588002,94.94475138121547,96.72454617205999,2
WeightedEnsemble_top3,25340,25340,7.599690375596227,12.6605864758937,0.7091036123111338,1.504615834147651,5.0303552717361795,15.887833923641299,22.57703485070709,49.73954222573007,77.73086029992108,88.90292028413576,93.55958958168902,95.982636148382,97.36779794790844,3
ExtraTrees_lag_rolling_spatial,25340,25340,7.747477296201752,13.261464070985497,0.680836200606789,1.7090610789354146,4.975063800811768,16.328885841369633,22.832406425476073,50.22888713496448,77.29281767955801,88.27150749802684,93.36227308602999,95.88397790055248,97.13496448303079,4
HistGradientBoosting_lag_rolling_spatial,25340,25340,8.112225249249727,14.239943739233444,0.6320005011419635,2.047791446471365,5.168356895446777,16.963472080230726,24.083753967285155,48.721389108129436,75.5524861878453,87.5217048145225,92.79005524861878,95.35122336227309,96.8666140489345,5
