model,station_id,province,rows_evaluated,mae,rmse,r2,bias_mean_error,median_abs_error,p90_abs_error,p95_abs_error,within_5ug_pct,within_10ug_pct,within_15ug_pct,within_20ug_pct,within_25ug_pct,within_30ug_pct
Persistence_current_pm25,102t,มุกดาหาร,5068,6.267363854481499,8.934618029228151,0.4045215080011916,-0.015035507425477629,4.299999809265136,14.700000381469726,19.29999973297119,56.491712707182316,80.95895816890291,90.37095501183899,95.61957379636937,97.8295185477506,98.89502762430939
Persistence_current_pm25,106t,บึงกาฬ,5068,10.379794812437673,15.890749807853805,0.8112469175361116,-0.024743512406909952,6.949997711181638,22.299997978210445,32.89999885559082,38.989739542225735,64.02920284135753,80.03157063930544,87.50986582478295,91.85082872928176,94.1594317284925
Persistence_current_pm25,82t,หนองคาย,5068,9.914246256086143,14.92322685878287,0.6373771727721598,-0.01227308525847197,6.5,22.800000495910645,30.664998550415003,41.33780584056827,65.35122336227307,79.63693764798737,87.11523283346487,92.16653512233623,94.672454617206
Persistence_current_pm25,83t,อุบลราชธานี,5068,7.768153128152582,11.671244152631314,0.5578338702439164,0.01681134747348632,4.79999942779541,18.199999237060545,25.100002517700194,51.47987371744278,73.91475927387529,85.71428571428571,91.92975532754538,94.88950276243095,96.64561957379637
Persistence_current_pm25,88t,นครพนม,5068,7.035536708331417,9.372594047696776,0.4424965101026672,-0.0613851731726878,5.499998855590819,15.30000038146973,19.264999771118127,46.72454617205998,75.71033938437253,89.40410418310971,95.44198895027624,97.96764009471191,99.19100236779795
Ridge_lag_rolling_spatial,102t,มุกดาหาร,5068,5.741830512737795,7.978161961154443,0.5251900666749142,-0.22462346598964641,4.210784721374511,12.560627498626712,16.426995315551753,57.69534333070244,84.09629044988161,93.48855564325179,97.27703235990529,98.75690607734806,99.28966061562747
Ridge_lag_rolling_spatial,106t,บึงกาฬ,5068,10.062595891312718,16.648611586446297,0.7928135661080964,2.3779865285215553,6.430299758911133,21.01550033569336,32.44422138214111,39.26598263614839,69.6921862667719,83.97790055248619,89.32517758484609,92.28492501973165,94.06077348066299
Ridge_lag_rolling_spatial,82t,หนองคาย,5068,8.763676819466378,13.427261610773783,0.7064348089184469,1.2002629180733575,5.809366607666018,19.215064582824713,26.76611002922053,43.48855564325177,72.53354380426204,84.49092344119968,90.78531965272296,94.13970007892661,96.27071823204419
Ridge_lag_rolling_spatial,83t,อุบลราชธานี,5068,7.153177096872886,10.726596984837727,0.6265133427005511,0.6731545801932358,4.7025243759155275,16.279943542480474,22.9050620651245,52.249408050513026,78.59116022099447,88.71349644830308,93.19258089976323,95.99447513812154,97.37569060773481
Ridge_lag_rolling_spatial,88t,นครพนม,5068,6.248157329209319,8.094264794435695,0.5842016210236752,-0.22682271355611655,5.190226364135742,12.960236625671387,16.387821731567374,48.263614838200475,82.4782951854775,93.38989739542227,97.47434885556433,99.21073401736386,99.66456195737963
HistGradientBoosting_lag_rolling_spatial,102t,มุกดาหาร,5068,5.858516201054663,8.16897854190518,0.5022060550395564,-0.0009158254328353449,4.179573822021485,13.347955131530764,17.22201044082639,57.49802683504341,82.3993685872139,92.75848460931334,97.15864246250987,99.01341752170481,99.34885556432518
HistGradientBoosting_lag_rolling_spatial,106t,บึงกาฬ,5068,11.362228553221748,22.612195422353267,0.6177999557289722,5.103679936630291,6.552225875854493,22.285254478454597,33.78977928161618,39.48303078137332,68.96211523283347,82.22178374112076,88.41752170481453,91.4364640883978,93.92265193370166
HistGradientBoosting_lag_rolling_spatial,82t,หนองคาย,5068,9.344953274030619,15.122971984572457,0.6276049044092589,2.447252938459497,6.0027137756347635,20.92515647888184,30.12251018524168,43.19258089976322,70.93528018942384,83.44514601420678,89.30544593528019,92.5414364640884,94.96842936069456
HistGradientBoosting_lag_rolling_spatial,83t,อุบลราชธานี,5068,7.4524199925357175,11.470453060054476,0.5729169773017326,2.3173938987569347,4.589219856262207,16.539879646301273,25.24160457611083,52.88082083662194,76.65745856353591,87.72691397000789,92.62036306235201,94.90923441199685,96.56669297553276
HistGradientBoosting_lag_rolling_spatial,88t,นครพนม,5068,6.543008201274707,8.692572312074608,0.5204602629460993,0.37154624033087147,4.933930492401123,14.284332237243651,18.477737426757805,50.552486187845304,78.80820836621942,91.4561957379637,96.44830307813733,98.85556432517758,99.52644041041832
ExtraTrees_lag_rolling_spatial,102t,มุกดาหาร,5068,5.562940528793606,7.828441657672589,0.5428436698671548,0.12435619567639261,3.8671798706054688,12.313371543884276,16.72788454055786,59.94475138121547,84.25414364640883,93.29123914759275,97.11917916337805,99.09234411996843,99.4672454617206
ExtraTrees_lag_rolling_spatial,106t,บึงกาฬ,5068,10.626940025300987,20.186689816574184,0.6953960769415255,3.7718717439586755,6.3218584060668945,19.9664176940918,31.654325542449907,39.680347277032354,69.88950276243095,83.78058405682715,90.01578531965272,92.87687450670876,94.47513812154696
ExtraTrees_lag_rolling_spatial,82t,หนองคาย,5068,9.195023170153553,14.869886229521967,0.6399648117083853,2.5343699058963263,5.812371349334716,20.411411056518563,29.44026641845698,44.6921862667719,71.58642462509866,83.40568271507497,89.71981057616418,93.1531176006314,95.2052091554854
ExtraTrees_lag_rolling_spatial,83t,อุบลราชธานี,5068,7.092107939033313,11.001794328284875,0.6071034571312054,1.938443254398942,4.362403774261474,16.01287265777588,24.099378128051757,55.26835043409629,79.32123125493291,88.55564325177585,93.1333859510655,95.30386740331491,96.8232044198895
ExtraTrees_lag_rolling_spatial,88t,นครพนม,5068,6.260374771240854,8.269957659818441,0.5659552090252022,0.17626425113467226,4.82243595123291,13.42680492401123,17.503800182342523,51.558800315706385,81.41278610891871,92.32438831886346,96.8232044198895,98.99368587213891,99.70402525651144
WeightedEnsemble_top3,102t,มุกดาหาร,5068,5.587324401680079,7.787093274446779,0.54766014694832,-0.033224664631875754,3.9953846707288765,12.37572250817744,16.219555079989494,59.0765588003157,84.17521704814523,93.94238358326757,97.37569060773481,99.05288082083662,99.4080505130229
WeightedEnsemble_top3,106t,บึงกาฬ,5068,10.298864346071255,18.995206827851874,0.730292311997621,3.746805838092094,6.341757251611902,20.493550118881306,30.319285913135843,39.60142067876875,71.58642462509866,84.0370955011839,89.68034727703235,92.81767955801105,94.83030781373323
WeightedEnsemble_top3,82t,หนองคาย,5068,8.86086013887957,14.047551402334854,0.6786850613584603,2.0611867605418657,5.668593393110954,19.848070210659323,28.06907421474681,44.47513812154696,72.49408050513023,84.0370955011839,90.11444356748224,93.50828729281768,95.67876874506709
WeightedEnsemble_top3,83t,อุบลราชธานี,5068,7.031388105701375,10.797655093121591,0.6215486442534472,1.6419186271772894,4.424041788002914,15.614998622786354,23.646672967740493,54.67640094711918,78.65035516969219,89.344909234412,93.44909234411996,95.42225730071034,97.17837411207577
WeightedEnsemble_top3,88t,นครพนม,5068,6.220014858205783,8.12849819544847,0.5806770777493563,0.10639256594681681,4.896482408951688,13.136131871289628,17.101539222481417,50.86819258089976,81.74822415153908,93.1531176006314,97.17837411207577,99.11207576953433,99.74348855564325
