loss,mae,val_loss,val_mae,learning_rate,model,epoch
0.36726224422454834,0.3562510013580322,0.28853639960289,0.3073734939098358,0.0010000000474974513,LSTM_sequence,1
0.2832406461238861,0.320888489484787,0.30514705181121826,0.30346474051475525,0.0010000000474974513,LSTM_sequence,2
0.22366078197956085,0.29560109972953796,0.3091593384742737,0.3060479760169983,0.0010000000474974513,LSTM_sequence,3
0.18301266431808472,0.27525708079338074,0.31631818413734436,0.30885177850723267,0.0010000000474974513,LSTM_sequence,4
0.13819405436515808,0.25109949707984924,0.3260887861251831,0.3169177174568176,0.0005000000237487257,LSTM_sequence,5
0.12237054109573364,0.2398352026939392,0.3412414491176605,0.32105928659439087,0.0005000000237487257,LSTM_sequence,6
0.11194952577352524,0.23168158531188965,0.34435003995895386,0.3218485414981842,0.0005000000237487257,LSTM_sequence,7
0.09937696903944016,0.22143109142780304,0.3472987711429596,0.32314708828926086,0.0002500000118743628,LSTM_sequence,8
0.3838231563568115,0.3630380630493164,0.2897695004940033,0.30484652519226074,0.0010000000474974513,GRU_sequence,1
0.30120858550071716,0.33202242851257324,0.28409406542778015,0.2932397127151489,0.0010000000474974513,GRU_sequence,2
0.24045687913894653,0.3126385807991028,0.2986114025115967,0.29765477776527405,0.0010000000474974513,GRU_sequence,3
0.19923920929431915,0.29572874307632446,0.30023306608200073,0.29956838488578796,0.0010000000474974513,GRU_sequence,4
0.17122144997119904,0.28206756711006165,0.3057977855205536,0.3002986013889313,0.0010000000474974513,GRU_sequence,5
0.14483080804347992,0.2665252983570099,0.3085251450538635,0.3062870502471924,0.0005000000237487257,GRU_sequence,6
0.13423165678977966,0.25902631878852844,0.31236395239830017,0.30535295605659485,0.0005000000237487257,GRU_sequence,7
0.12602543830871582,0.25303417444229126,0.31547343730926514,0.30802714824676514,0.0005000000237487257,GRU_sequence,8
0.11654277890920639,0.24550896883010864,0.32250821590423584,0.3114785850048065,0.0002500000118743628,GRU_sequence,9
0.34299904108047485,0.34859174489974976,0.30364811420440674,0.3110596835613251,0.0010000000474974513,BiLSTM_sequence,1
0.23104803264141083,0.3021854758262634,0.31378796696662903,0.31474822759628296,0.0010000000474974513,BiLSTM_sequence,2
0.1752597540616989,0.27521148324012756,0.3284006118774414,0.32437410950660706,0.0010000000474974513,BiLSTM_sequence,3
0.14768551290035248,0.2579907774925232,0.31467655301094055,0.3201674818992615,0.0010000000474974513,BiLSTM_sequence,4
0.11461928486824036,0.23546501994132996,0.3184719681739807,0.32476741075515747,0.0005000000237487257,BiLSTM_sequence,5
0.10353930294513702,0.22526268661022186,0.3307194411754608,0.32931098341941833,0.0005000000237487257,BiLSTM_sequence,6
0.09560738503932953,0.2182765007019043,0.3209332227706909,0.32427117228507996,0.0005000000237487257,BiLSTM_sequence,7
0.08630770444869995,0.20902791619300842,0.3274446129798889,0.32799363136291504,0.0002500000118743628,BiLSTM_sequence,8
0.38368546962738037,0.3570992052555084,0.30401936173439026,0.3206999599933624,0.0010000000474974513,CNN_LSTM_sequence,1
0.3071593940258026,0.3291807770729065,0.30469098687171936,0.3145621418952942,0.0010000000474974513,CNN_LSTM_sequence,2
0.2553720474243164,0.31158527731895447,0.31670644879341125,0.3138901889324188,0.0010000000474974513,CNN_LSTM_sequence,3
0.21960599720478058,0.2961988151073456,0.3101395070552826,0.31136199831962585,0.0010000000474974513,CNN_LSTM_sequence,4
0.16206775605678558,0.26973867416381836,0.3187936544418335,0.3165358901023865,0.0005000000237487257,CNN_LSTM_sequence,5
0.14110340178012848,0.25777125358581543,0.31440573930740356,0.31760233640670776,0.0005000000237487257,CNN_LSTM_sequence,6
0.1261303424835205,0.24742846190929413,0.3210843503475189,0.3192715048789978,0.0005000000237487257,CNN_LSTM_sequence,7
0.11287380009889603,0.23645217716693878,0.32631829380989075,0.32487455010414124,0.0002500000118743628,CNN_LSTM_sequence,8
0.36984795331954956,0.3626939356327057,0.3516004979610443,0.35278448462486267,0.0010000000474974513,Attention_BiLSTM_sequence,1
0.2714322507381439,0.31498733162879944,0.36566534638404846,0.3477068543434143,0.0010000000474974513,Attention_BiLSTM_sequence,2
0.22225551307201385,0.29063665866851807,0.34019556641578674,0.33565691113471985,0.0010000000474974513,Attention_BiLSTM_sequence,3
0.18372873961925507,0.26875030994415283,0.32978108525276184,0.33976995944976807,0.0010000000474974513,Attention_BiLSTM_sequence,4
0.15099257230758667,0.2500717341899872,0.33268970251083374,0.34187471866607666,0.0010000000474974513,Attention_BiLSTM_sequence,5
0.1379517763853073,0.23979076743125916,0.3398480713367462,0.3382345736026764,0.0010000000474974513,Attention_BiLSTM_sequence,6
0.1285332441329956,0.23161929845809937,0.35318493843078613,0.3465264141559601,0.0010000000474974513,Attention_BiLSTM_sequence,7
0.09376052767038345,0.20719492435455322,0.3587551414966583,0.34783560037612915,0.0005000000237487257,Attention_BiLSTM_sequence,8
0.08607972413301468,0.19977784156799316,0.36164283752441406,0.34801724553108215,0.0005000000237487257,Attention_BiLSTM_sequence,9
0.08035819977521896,0.1935855895280838,0.3557790219783783,0.3468083143234253,0.0005000000237487257,Attention_BiLSTM_sequence,10
0.06871803104877472,0.18322807550430298,0.3666578233242035,0.3510870635509491,0.0002500000118743628,Attention_BiLSTM_sequence,11
